id_rest,id_OSM_rest,name,bbox
lon_8.6630029_lat_50.2542348,way/22568867,Schäferborn,"[8.662897964530508, 50.24947031826926, 8.669908546197345, 50.25396535035237]"
lon_11.3531491_lat_50.9378362,way/27549694,Habichtsfang,"[11.352126356256656, 50.93673132065365, 11.359239633490729, 50.941225820209745]"
lon_9.6300119_lat_53.8303266,way/31128689,Steinburg,"[9.628408027436869, 53.82609206436967, 9.636001721299682, 53.830584354095414]"
lon_9.6297338_lat_53.8301666,way/31128716,Steinburg,"[9.628783751584203, 53.82589790838585, 9.636377402394926, 53.83039019829098]"
lon_11.0102562_lat_50.8353109,way/32489728,Dornheimer Rieth,"[11.006819328464454, 50.83506964851384, 11.013917149461077, 50.83956422673636]"
lon_12.1106921_lat_51.4564157,way/33183989,Kabelsketal,"[12.108723192655715, 51.45229749950545, 12.11591663632373, 51.45679159918252]"
lon_12.1076965_lat_51.4562754,way/33183997,Kabelsketal,"[12.103553323499638, 51.45246633390135, 12.110746738192445, 51.45696043372055]"
lon_10.1688328_lat_53.3457924,way/36826521,Luhewiesen,"[10.167712710403007, 53.34144487770616, 10.175220134605402, 53.34593753310574]"
lon_12.0315302_lat_51.2103528,way/37300878,Pörstental,"[12.025487608316608, 51.206195230456466, 12.032642630851525, 51.21068952009791]"
lon_10.7298729_lat_50.5605634,way/48949722,Adlersberg,"[10.723957367912286, 50.557441546268834, 10.731013527451518, 50.561936339124806]"
lon_8.7976979_lat_50.4392699,way/52983428,Stauferburg-Ost,"[8.79264975770145, 50.437960746021105, 8.79968817703411, 50.44245563143631]"
lon_8.7960067_lat_50.4414072,way/52983433,Stauferburg-West,"[8.793327402498855, 50.43888275943126, 8.800365845455874, 50.44337764472272]"
lon_9.0037966_lat_50.1997276,way/53086050,Auf der Pfingstweide West,"[9.000614508249631, 50.196786687187924, 9.007617307408248, 50.20128176058923]"
lon_9.006114_lat_50.1972118,way/53086051,Auf der Pfingstweide Ost,"[9.002353720150944, 50.19680642535549, 9.009356492715293, 50.20130149889823]"
lon_10.16857_lat_53.3461669,way/70564260,Grevelau,"[10.165869102425576, 53.34306254069824, 10.173376638373776, 53.34755519561597]"
lon_10.444298_lat_50.9932399,way/73313463,Hainich,"[10.442098698103289, 50.9915153116528, 10.449220286751656, 50.99600976911946]"
lon_10.4367549_lat_50.9933128,way/73313479,Hainich,"[10.435981344814518, 50.99032459300706, 10.443102961990036, 50.99481905032951]"
lon_10.6579729_lat_51.9212477,way/85693932,Brockenblick,"[10.656469096607207, 51.91673683481171, 10.663736332859077, 51.92123057808908]"
lon_9.9309273_lat_54.1889457,way/90143056,Dätgen,"[9.926896440177881, 54.18793265193772, 9.934555893656896, 54.1924246712175]"
lon_10.0774066_lat_53.2322212,way/90507492,Schaapskaben,"[10.076298963911414, 53.230083331221934, 10.083786507379054, 53.23457607269483]"
