id_rest,id_OSM_rest,name,bbox
lon_8.6630029_lat_50.2542348,way/22568867,Schäferborn,"[8.662897964530508, 50.24947031826926, 8.669908546197345, 50.25396535035237]"
lon_11.3531491_lat_50.9378362,way/27549694,Habichtsfang,"[11.352126356256656, 50.93673132065365, 11.359239633490729, 50.941225820209745]"
lon_10.2712414_lat_53.331074,way/29376062,Roddau,"[10.264345359109937, 53.328233742563924, 10.27185045109661, 53.33272640802525]"
lon_9.6300119_lat_53.8303266,way/31128689,Steinburg,"[9.629200346595411, 53.82616873812249, 9.636794040458224, 53.83066102784824]"
lon_9.6297338_lat_53.8301666,way/31128716,Steinburg,"[9.628319773449437, 53.82730601524238, 9.63591342426016, 53.83179830514751]"
lon_9.2506723_lat_54.1383328,way/31130256,Dithmarscher Geest,"[9.249880364794192, 54.13419039869405, 9.257530331629754, 54.138682456557326]"
lon_11.0102562_lat_50.8353109,way/32489728,Dornheimer Rieth,"[11.00515037291373, 50.83361025985523, 11.012248193910354, 50.83810483807775]"
lon_12.1106921_lat_51.4564157,way/33183989,Kabelsketal,"[12.108515213790241, 51.45199990433795, 12.115708657458256, 51.45649400401503]"
lon_12.1076965_lat_51.4562754,way/33183997,Kabelsketal,"[12.10419865405531, 51.45211148128867, 12.111392068748117, 51.45660558110787]"
lon_10.1688328_lat_53.3457924,way/36826521,Luhewiesen,"[10.165171450449275, 53.342883706172024, 10.17267887465167, 53.347376361571605]"
lon_12.0315302_lat_51.2103528,way/37300878,Pörstental,"[12.025281352713918, 51.20705932659204, 12.032436375248835, 51.21155361623348]"
lon_10.7298729_lat_50.5605634,way/48949722,Adlersberg,"[10.72774340815404, 50.557965018387584, 10.734799567693273, 50.562459811243556]"
lon_8.7976979_lat_50.4392699,way/52983428,Stauferburg-Ost,"[8.793787734344175, 50.438793567739935, 8.800826153676834, 50.44328845315514]"
lon_8.7960067_lat_50.4414072,way/52983433,Stauferburg-West,"[8.792529595943948, 50.439145008653334, 8.799568038900967, 50.4436398939448]"
lon_9.0037966_lat_50.1997276,way/53086050,Auf der Pfingstweide West,"[8.999786604323932, 50.19611005582648, 9.006789403482548, 50.20060512922779]"
lon_9.006114_lat_50.1972118,way/53086051,Auf der Pfingstweide Ost,"[9.00239140220284, 50.19704861891809, 9.009394174767188, 50.20154369246083]"
lon_8.9264579_lat_50.3435768,way/53086053,Hohe Berg,"[8.922655355469622, 50.340110201838854, 8.929679281835163, 50.34460516339433]"
lon_8.9282225_lat_50.3458508,way/54583940,Auf der Nachtweide Ost,"[8.924399178718566, 50.34413658129256, 8.931423761927359, 50.34863153938699]"
lon_10.16857_lat_53.3461669,way/70564260,Grevelau,"[10.165750097602062, 53.34490059461648, 10.173257633550262, 53.34939324953421]"
