id_rest,id_OSM_rest,name
lon_8.6630029_lat_50.2542348,way/22568867,Schäferborn
lon_11.3531491_lat_50.9378362,way/27549694,Habichtsfang
lon_10.2712414_lat_53.331074,way/29376062,Roddau
lon_9.6300119_lat_53.8303266,way/31128689,Steinburg
lon_9.6297338_lat_53.8301666,way/31128716,Steinburg
lon_9.2506723_lat_54.1383328,way/31130256,Dithmarscher Geest
lon_11.0102562_lat_50.8353109,way/32489728,Dornheimer Rieth
lon_12.1106921_lat_51.4564157,way/33183989,Kabelsketal
lon_12.1076965_lat_51.4562754,way/33183997,Kabelsketal
lon_10.1688328_lat_53.3457924,way/36826521,Luhewiesen
lon_12.0315302_lat_51.2103528,way/37300878,Pörstental
lon_10.7298729_lat_50.5605634,way/48949722,Adlersberg
lon_8.7976979_lat_50.4392699,way/52983428,Stauferburg-Ost
lon_8.7960067_lat_50.4414072,way/52983433,Stauferburg-West
lon_9.0037966_lat_50.1997276,way/53086050,Auf der Pfingstweide West
lon_9.006114_lat_50.1972118,way/53086051,Auf der Pfingstweide Ost
lon_8.9264579_lat_50.3435768,way/53086053,Hohe Berg
lon_8.9282225_lat_50.3458508,way/54583940,Auf der Nachtweide Ost
lon_10.16857_lat_53.3461669,way/70564260,Grevelau
lon_10.444298_lat_50.9932399,way/73313463,Hainich
lon_10.4367549_lat_50.9933128,way/73313479,Hainich
lon_9.9309273_lat_54.1889457,way/90143056,Dätgen
lon_10.0774066_lat_53.2322212,way/90507492,Schaapskaben
lon_10.0214344_lat_54.2446698,way/91566080,Rumohr
lon_8.4094366_lat_50.0433047,way/93591072,Johannispfad
lon_8.409903_lat_50.0435443,way/93591083,Oberbach
lon_12.484777_lat_51.9700491,way/93994405,Rosselquelle
lon_12.6318286_lat_52.0445002,way/120078209,Hagen
lon_9.6950885_lat_52.4313338,way/121486255,Godshorn
lon_10.6158177_lat_53.5536922,way/123171842,Tramm
lon_10.6284325_lat_53.5509146,way/123171843,Roseburg
lon_9.43935_lat_54.6368415,way/128672048,Jalm
lon_9.9118833_lat_54.3141951,way/139793709,Hasenmoor
lon_9.9181171_lat_54.315654,way/139793712,Neu-Nordsee
lon_13.8513592_lat_51.4570059,way/141971889,Ruhlander Heide
lon_13.8516172_lat_51.4581664,way/141971891,Elsteraue
lon_11.8748503_lat_50.7596459,way/143398534,Rodaborn
lon_14.125127_lat_51.7568185,way/150981943,Dubje
lon_11.8452583_lat_50.957723,way/155825034,Kuhberg
lon_11.8511459_lat_50.9610243,way/155825036,Kuhberg
lon_12.2160563_lat_51.7230405,way/159737062,Mosigkauer Heide
lon_10.1793156_lat_51.408897,way/162052596,Leinetal
lon_10.6222227_lat_51.4346456,way/162053434,
lon_10.7814825_lat_51.4714133,way/162054370,Rastplatz Kesselberg-Nord
lon_11.042875_lat_51.4666501,way/162054994,Goldene Aue
lon_11.0467665_lat_51.4688222,way/162054996,Goldene Aue
lon_11.2298121_lat_51.4520557,way/162056057,Helmetal
lon_11.225695_lat_51.4521931,way/162056063,Helmetal
