id_rest,id_OSM_rest,name,bbox
lon_11.2442867_lat_51.3248863,relation/3947321,Hohe Schrecke West,"[11.241064915797857, 51.32243637400286, 11.248237936518436, 51.32693057427474]"
lon_13.5458137_lat_52.7129474,relation/4672225,Probstheide,"[13.540777948956048, 52.71013054268637, 13.548176214108025, 52.71462367931642]"
lon_13.549042_lat_52.7092396,relation/4672228,Ladeburger Heide,"[13.5452955790032, 52.70705615941434, 13.552693596228957, 52.71154929716178]"
lon_8.6624068_lat_50.2544468,way/22568868,Spießwald,"[8.660065778552887, 50.25160742899144, 8.66707660137137, 50.256102459796466]"
lon_8.6184146_lat_49.7896285,way/28329065,Rastplatz Rolandshöhe,"[8.616622212048906, 49.788430865137876, 8.623566031853567, 49.79292625621781]"
lon_9.7581375_lat_52.4268193,way/28389908,Vahrenheide,"[9.75224645021761, 52.4248280697594, 9.759596889092952, 52.42932142404682]"
lon_8.633307_lat_50.0540941,way/31005588,Stadtwald,"[8.632389874630785, 50.05127299918256, 8.639371660464786, 50.05576818484016]"
lon_10.2703215_lat_53.3301407,way/37768773,Busschewald,"[10.264451030251648, 53.329675652509714, 10.27195597306198, 53.33416831861494]"
lon_9.930895_lat_52.2392839,way/72447283,An der Alpe Ost,"[9.92543258890471, 52.23570510121038, 9.932751946934927, 52.24019859924944]"
lon_9.9290741_lat_52.2397704,way/78699679,An der Alpe West,"[9.926858083715107, 52.23704211692211, 9.934177457603646, 52.241535614887354]"
lon_10.6579729_lat_51.9212477,way/85693932,Brockenblick,"[10.657701762299823, 51.91669410404275, 10.664968998551693, 51.92118784732012]"
lon_14.1236975_lat_51.7547827,way/150981946,Eichower Fließ,"[14.121425999303469, 51.75302881655706, 14.128666781692719, 51.75752268634223]"
lon_10.1741282_lat_51.4096944,way/162052595,Leinetal,"[10.171012716708164, 51.406443676097716, 10.178198976825422, 51.41093781105974]"
lon_10.6238862_lat_51.4340877,way/162053429,,"[10.617927870361983, 51.43014511776517, 10.625117876826648, 51.43463923431224]"
lon_10.7778756_lat_51.4723257,way/162054372,Rastplatz Kesselberg-Süd,"[10.773991559940988, 51.46826509718841, 10.7811874867837, 51.47275918469305]"
lon_11.7243104_lat_51.3999369,way/162057693,Querfurter Platte Süd,"[11.72308522903254, 51.39587329259158, 11.730269854499769, 51.400367435597694]"
lon_12.2147233_lat_51.2415014,way/162059236,Fuchsaue Nord,"[12.21389117175244, 51.23993724018196, 12.22105137183987, 51.24443150404502]"
lon_9.6690837_lat_51.3960842,way/162094319,Humboldtblick,"[9.66451998836861, 51.39310892168835, 9.671704142130192, 51.39760306701676]"
lon_9.5648832_lat_51.3206232,way/162094569,Herkulesblick,"[9.558510150086372, 51.31621244920713, 9.56568238159141, 51.320706653383674]"
lon_9.7765986_lat_51.39495,way/162095818,Hedemünden,"[9.773989078004023, 51.39079549007778, 9.781172952891351, 51.395289636779346]"
lon_9.4159049_lat_51.2726438,way/162096483,Brasselberg,"[9.411270548423781, 51.2683073999747, 9.418435287313619, 51.27280164128579]"
lon_9.3682659_lat_51.2848607,way/162391436,Firnsbachtal,"[9.36727670903526, 51.28088399799054, 9.37444330673501, 51.285378230078166]"
lon_9.3696302_lat_51.2844243,way/162391440,Hirzstein,"[9.364851075024584, 51.28361673690581, 9.372017807080647, 51.28811096832705]"
lon_9.2941255_lat_51.3122625,way/162393054,Roterain,"[9.289597376332232, 51.309108254530535, 9.296768287528497, 51.31360246524225]"
lon_9.1600031_lat_51.4173784,way/162405436,Schoren,"[9.159244161577291, 51.41413679488151, 9.166431383138583, 51.418630925114854]"
lon_9.1613741_lat_51.4145048,way/162405439,Am roten Ufer,"[9.1548537879556, 51.413660267601784, 9.162040970516918, 51.41815439802691]"
lon_7.2187753_lat_52.2848132,way/163300630,,"[7.216746799179006, 52.283280791203296, 7.224073836265987, 52.28777425355512]"
lon_9.0331918_lat_51.4840659,way/163687169,Am Quast,"[9.027606079101258, 51.48124821799016, 9.034804048974546, 51.48574229548942]"
lon_14.6664657_lat_51.6935159,way/188061329,,"[14.665478301251333, 51.690338787626914, 14.672709283340591, 51.6948327046335]"
lon_9.4270122_lat_53.2544235,way/190660146,Hatzte,"[9.424207839075896, 53.25294302207515, 9.43169959918792, 53.257435745234645]"
lon_9.8243386_lat_52.5040831,way/201389695,Seckbruch,"[9.821084170626376, 52.50190569372475, 9.828447364012161, 52.506398989549744]"
lon_9.7141782_lat_52.6403023,way/202067790,Südhorn,"[9.71082960520571, 52.63921718698445, 9.718215945863722, 52.643710377485796]"
lon_9.8725742_lat_53.3827185,way/206303722,Rosengarten,"[9.870491768634182, 53.38160078813976, 9.878006081710666, 53.386093413873986]"
lon_13.9939049_lat_53.3959562,way/206382549,Klockow-Ost,"[13.991188832196714, 53.3920109446894, 13.99870492975897, 53.3965035627525]"
lon_13.9923448_lat_53.3923443,way/206400259,Klockow-West,"[13.987583781514235, 53.39221849346077, 13.995099875491302, 53.39671111153926]"
lon_10.5352437_lat_50.6005787,way/219332323,Dolmar,"[10.53205454775197, 50.59872457809877, 10.539116725686108, 50.60321933971294]"
lon_9.6811216_lat_50.6510697,way/221257631,Fuchsberg,"[9.675197851537163, 50.64932989289909, 9.682267633707234, 50.65382461515381]"
lon_9.7320035_lat_50.4520141,way/221257694,Steinborntal,"[9.729023720244165, 50.447760773879025, 9.736063796008892, 50.45225565062205]"
lon_10.6630829_lat_51.917356,way/224650677,Brockenblick,"[10.659539996950397, 51.91640016121293, 10.66680716611733, 51.92089390480936]"
lon_10.8884541_lat_51.839659,way/224709752,Regensteinblick,"[10.881884095595147, 51.836432352709615, 10.8891386389497, 51.84092615651359]"
lon_13.7777207_lat_53.5210372,way/225419226,Ravensmühle,"[13.775886371140997, 53.5181755386675, 13.78342477186129, 53.522668061314874]"
lon_10.1665917_lat_52.3598134,way/238434701,Röhrse Nord,"[10.1617713454494, 52.35951803890603, 10.169110789970214, 52.36401144383373]"
lon_8.9424542_lat_53.0280869,way/240258682,Mahndorfer Marsch,"[8.935799458939512, 53.02737802474921, 8.943251718809288, 53.03187092068835]"
lon_8.6074934_lat_53.3413264,way/241355091,Harmonie,"[8.602750562629224, 53.337751975082035, 8.610257400146045, 53.34224463301182]"
lon_8.5844001_lat_53.3595834,way/241355094,Binnermoor,"[8.582562077213291, 53.358180987214126, 8.590071999652329, 53.36267363184616]"
lon_8.6579523_lat_53.6066306,way/241467647,Bütteler Holz Ost,"[8.65650757832663, 53.604699590536754, 8.664061508670573, 53.60919204724694]"
lon_8.6591991_lat_53.6100326,way/241467648,Bütteler Holz West,"[8.656019428460864, 53.60746913390487, 8.663573552895476, 53.61196158979355]"
lon_8.6167533_lat_53.47697,way/241467663,Nesse,"[8.616238577858473, 53.47498075555508, 8.623769386158296, 53.47947331058824]"
lon_8.615916_lat_53.4773133,way/241467664,Nesse,"[8.614586658461818, 53.474337746513925, 8.622117507264395, 53.47883030137407]"
lon_8.6612579_lat_53.727224,way/241472426,Midlum,"[8.659761735572715, 53.72435279119716, 8.667336910588318, 53.72884515836325]"
lon_8.6635734_lat_53.709556,way/241472428,Krempel,"[8.661249976464802, 53.708806009178936, 8.668822267777784, 53.71329838845517]"
lon_9.0222248_lat_53.0518133,way/241503899,Thünen,"[9.019080787763114, 53.048603616647114, 9.026537172387775, 53.05309649441497]"
lon_11.6645768_lat_50.8773612,way/243444719,Rodablick,"[11.662072228979946, 50.876341277527075, 11.669176337506103, 50.88083582368621]"
lon_9.9597557_lat_50.9450357,way/244666572,,"[9.953407187844793, 50.940802515617385, 9.960521531079323, 50.94529700976689]"
lon_9.8798686_lat_50.9064497,way/244667548,Nadelöhr,"[9.878293386320308, 50.90550678634142, 9.885402043426371, 50.910001309358215]"
lon_9.0552368_lat_52.2187953,way/244805254,Papenbrink,"[9.054973766780316, 52.21537303084181, 9.062289881842498, 52.219866543985965]"
lon_9.16598_lat_52.2161316,way/244805515,Bernser Kirchweg,"[9.1646976240391, 52.212440691130915, 9.172013210312137, 52.21693420673999]"
lon_9.3134158_lat_52.2616336,way/244806708,Schafstrift,"[9.312116128945938, 52.2614864914763, 9.319439371470338, 52.265979971448665]"
lon_9.8246715_lat_52.4258443,way/244809355,Varrelheide,"[9.821187629515702, 52.42331181580152, 9.828538065072745, 52.42780517010419]"
lon_11.6762787_lat_51.8279886,way/245172246,Alter Postweg,"[11.67484904960997, 51.82482975861981, 11.682101470662472, 51.82932357257523]"
lon_11.6751194_lat_51.8288226,way/245172249,Alter Postweg,"[11.669436671936195, 51.825501336241, 11.676689243020798, 51.82999514947847]"
lon_9.9402235_lat_51.7140776,way/246102099,Schlochau-West,"[9.938143136201752, 51.71357465105027, 9.945377710886348, 51.71806855072404]"
lon_10.4688724_lat_51.4093481,way/248435004,,"[10.465683097676031, 51.40519475247232, 10.472869220677943, 51.409688888108874]"
lon_8.73536_lat_50.0770423,way/264524048,,"[8.731274306607189, 50.07501848767234, 8.738259495732402, 50.07951365507995]"
lon_8.736501_lat_50.0785698,way/264524049,,"[8.732556363146884, 50.07838621862734, 8.73954179477256, 50.08288138473559]"
lon_8.1571296_lat_52.1690264,way/275794886,Teutoburger Wald Ost,"[8.153210441553208, 52.168542577021874, 8.160518617273924, 52.17303612723118]"
lon_8.1555659_lat_52.1705103,way/275794890,Teutoburger Wald West,"[8.1496657021341, 52.16801281172602, 8.156973827365004, 52.17250636217143]"
lon_11.9661867_lat_52.2348893,way/276155214,Ihlegrund,"[11.964817368289006, 52.23149352362891, 11.972136102922962, 52.235987024570065]"
lon_12.140788_lat_52.2431929,way/276155317,Wüstenforst,"[12.137089283422487, 52.240104261909835, 12.144409341500374, 52.24459775669086]"
lon_9.9675853_lat_53.0856623,way/296082220,Bispinger Tor,"[9.962677126191346, 53.08344450381937, 9.97013930804041, 53.08793735609917]"
lon_9.9478762_lat_53.0352366,way/296082221,Wilseder Berg,"[9.942018409116452, 53.03142409053776, 9.94947159575735, 53.03591698239145]"
lon_10.0237836_lat_54.2450733,way/296533996,Rumohr,"[10.022447983982856, 54.24307978685688, 10.030117982970859, 54.24757176341519]"
lon_11.2429922_lat_51.3232808,way/296733499,PWC Hohe Schrecke West,"[11.242781055426875, 51.32320010728211, 11.249954058691415, 51.327694307640336]"
lon_12.9659112_lat_52.5330037,way/299552367,,"[12.965365638470246, 52.531631505729976, 12.972733713784507, 52.536124779258465]"
lon_8.2197171_lat_52.8413999,way/299600720,Gartherfeld,"[8.218578204197097, 52.841021599362136, 8.225998562207796, 52.84551463687155]"
lon_8.2151783_lat_52.8283254,way/299600721,Drantumer Mühle,"[8.21171171630535, 52.82829566328529, 8.219129892783874, 52.83278871054271]"
lon_8.5063482_lat_52.9364036,way/299600729,,"[8.502160266034814, 52.935183570934115, 8.509596859805043, 52.93967653616582]"
lon_8.3817045_lat_52.9120153,way/299600731,,"[8.374354716887684, 52.91158006553843, 8.381787064488417, 52.916073049627144]"
lon_8.6688465_lat_52.9984663,way/299600732,Rastplatz Kiekut-Nord,"[8.663533286857499, 52.99455410231983, 8.670980366617743, 52.99904702112247]"
lon_8.3620815_lat_52.907909,way/299600735,Wildeshausen,"[8.361956813848348, 52.90637154655401, 8.36938848415512, 52.910864533653545]"
lon_8.5996573_lat_52.9660452,way/299600737,Oldenburg,"[8.596328335529623, 52.96429458437735, 8.603770019979361, 52.96878752704433]"
lon_8.5946304_lat_52.9638508,way/299600768,Groß Ippener,"[8.592208982956732, 52.962767923222884, 8.59965014289588, 52.96726086821262]"
lon_8.1481291_lat_52.6359183,way/301010833,Brockdorf,"[8.144210611860373, 52.63398692424784, 8.15159623288833, 52.63848011800863]"
lon_8.6191945_lat_49.6223186,way/306850385,Rastplatz Fuchsbuckel,"[8.61475274399553, 49.61791920300666, 8.621672473580889, 49.62241472619655]"
lon_8.5925199_lat_49.7314605,way/306917445,Rastplatz Nachtweide,"[8.586871480539147, 49.73058760823164, 8.593807010547254, 49.73508304461648]"
lon_8.602833_lat_49.7668168,way/306918159,Rastplatz Erlensee,"[8.601301165728836, 49.766060906952944, 8.608241687488439, 49.77055631603763]"
lon_8.6036028_lat_49.9748114,way/307071501,Bornbruch (Ost),"[8.602601406917405, 49.97286749192234, 8.609571623440697, 49.977362739820755]"
lon_8.6029015_lat_49.975111,way/307071502,Bornbruch (West),"[8.601849492684384, 49.970674098672745, 8.608819679726285, 49.97516934673016]"
lon_8.5969375_lat_50.0002998,way/307073504,Steingrund,"[8.5954789286627, 49.99963549514675, 8.602453124031356, 50.004130721604575]"
lon_10.3245839_lat_53.7345734,way/310668096,Rehbrook Ost,"[10.321693292349572, 53.73344564049983, 10.32927009624727, 53.73793800083155]"
lon_10.455208_lat_53.8050009,way/310736622,Melmshöhe,"[10.45224023176956, 53.80274421788777, 10.459829471419512, 53.80723652618776]"
lon_11.8481003_lat_50.875064,way/315653510,,"[11.843462213808827, 50.87172290604954, 11.850565719224544, 50.876217455280525]"
lon_8.1332443_lat_53.1614875,way/327430973,Bloh,"[8.126101015050498, 53.16112144359731, 8.133576505272089, 53.16561423759059]"
lon_8.1221134_lat_53.1667353,way/327430976,Bloh,"[8.119120606718145, 53.16484112711686, 8.12659702776378, 53.169333917045115]"
lon_12.149456_lat_52.2449316,way/343996763,Wüstenforst,"[12.14371587043893, 52.24198963492097, 12.151036220247361, 52.24648312834454]"
lon_11.7524542_lat_52.2277066,way/344903791,Krähenberge,"[11.749683771177917, 52.22581279154733, 11.75700134479844, 52.230306297895325]"
lon_11.7559379_lat_52.2272876,way/345043739,Krähenberge,"[11.751329073041317, 52.22449781848008, 11.758646533104615, 52.22899132535705]"
lon_13.3713665_lat_52.3078778,way/345589355,Jühnsdorfer Heide,"[13.36534562163649, 52.307408314149804, 13.37267645285798, 52.31190175891051]"
lon_11.9876903_lat_52.2359165,way/345604854,Ihlegrund,"[11.982640920261, 52.23265491434472, 11.989959848357577, 52.23714841438517]"
lon_8.1468263_lat_53.2976569,way/346387923,Beckhauser Büsche,"[8.142369743268318, 53.2936475231282, 8.149868507275514, 53.29814021593748]"
lon_8.1467217_lat_53.2944936,way/346389741,Beckhauser Büsche,"[8.14320729022963, 53.29380357564326, 8.150706167552817, 53.29829626796219]"
lon_13.1937997_lat_52.3010565,way/347382087,Schieferberg,"[13.191919125787402, 52.29854018782366, 13.199248771906818, 52.30303363807602]"
lon_12.8531966_lat_52.3198213,way/347384277,Schwielowsee,"[12.848984771233603, 52.31939963438192, 12.856317624566291, 52.32389306977852]"
lon_12.1425003_lat_53.2643763,way/347755345,Dorngrund Nord,"[12.141496838932737, 53.261375424014034, 12.148990102635123, 53.26586814065078]"
lon_12.1423532_lat_53.263714,way/347755346,Dorngrund Süd,"[12.13860201116633, 53.259754543626435, 12.14609511133174, 53.26424726097243]"
lon_9.0123215_lat_53.0517663,way/347961738,Thünen,"[9.009258955523292, 53.05038180366359, 9.01671535430163, 53.05487468136915]"
lon_10.3048543_lat_53.568087,way/347974088,Hahnenkoppel,"[10.299788652223377, 53.565611204881414, 10.307335462967089, 53.57010369176996]"
lon_10.3003947_lat_53.5683535,way/347974089,Hahnenkoppel,"[10.299405853980591, 53.56472840690449, 10.306952801084112, 53.569220893214236]"
lon_9.6953904_lat_50.5889326,way/367858768,Geißhecke,"[9.691253662410958, 50.58502658846138, 9.698314128328722, 50.58952135895455]"
lon_9.7165998_lat_50.5758475,way/367969089,Rastplatz Rauschenberg,"[9.71494921611972, 50.57363926205435, 9.722007725882694, 50.57813404270063]"
lon_9.6008842_lat_50.7612535,way/368338554,Rastplatz Richtgraben,"[9.596545913884277, 50.76013852720872, 9.603632322952329, 50.76463316384577]"
lon_9.5552964_lat_50.7839373,way/368338556,Rastplatz Strampen,"[9.552403470092427, 50.782827353420295, 9.559493272839683, 50.78732197265643]"
lon_12.8608997_lat_52.3180343,way/369212846,Caputh,"[12.856565372256545, 52.31596566034471, 12.863897946457856, 52.32045909703347]"
lon_13.7976643_lat_52.4383976,way/369339890,Kranichberge,"[13.793121743793696, 52.43506633525695, 13.800473913048082, 52.43955968159497]"
lon_13.704978_lat_52.3214486,way/369340175,Lankensee,"[13.701062159197726, 52.319209557877215, 13.708395264553424, 52.3237029921073]"
lon_13.7073795_lat_52.3234317,way/369340176,Uckleysee,"[13.700771398453945, 52.320676463812745, 13.708104683930824, 52.32516989720917]"
lon_13.1860148_lat_52.2996676,way/369342827,Siethener Elsbruch,"[13.181705543660643, 52.29680469418572, 13.18903492955616, 52.301298145644296]"
lon_13.394675_lat_52.6763168,way/369381757,Parkplatz Schönwalde,"[13.39229468343865, 52.673992353082646, 13.399687021248496, 52.678485516457926]"
lon_13.3912216_lat_52.6771222,way/369381758,,"[13.387734198933133, 52.674630099019986, 13.395126665432814, 52.679123261813906]"
lon_12.8219803_lat_52.7663465,way/369955017,Am Rhinluch,"[12.81830438097119, 52.76494834881474, 12.82571193938533, 52.769441443641625]"
lon_12.5509414_lat_53.0440047,way/369956109,,"[12.546866803054732, 53.04140563686953, 12.554321893255578, 53.04589852033662]"
