id_rest,id_OSM_rest,name
lon_11.2442867_lat_51.3248863,relation/3947321,Hohe Schrecke West
lon_13.5458137_lat_52.7129474,relation/4672225,Probstheide
lon_13.549042_lat_52.7092396,relation/4672228,Ladeburger Heide
lon_8.6624068_lat_50.2544468,way/22568868,Spießwald
lon_8.6184146_lat_49.7896285,way/28329065,Rastplatz Rolandshöhe
lon_9.7581375_lat_52.4268193,way/28389908,Vahrenheide
lon_8.633307_lat_50.0540941,way/31005588,Stadtwald
lon_10.2703215_lat_53.3301407,way/37768773,Busschewald
lon_9.930895_lat_52.2392839,way/72447283,An der Alpe Ost
lon_9.9290741_lat_52.2397704,way/78699679,An der Alpe West
lon_14.1236975_lat_51.7547827,way/150981946,Eichower Fließ
lon_10.1741282_lat_51.4096944,way/162052595,Leinetal
lon_10.6238862_lat_51.4340877,way/162053429,
lon_10.7778756_lat_51.4723257,way/162054372,Rastplatz Kesselberg-Süd
lon_11.7243104_lat_51.3999369,way/162057693,Querfurter Platte Süd
lon_9.6690837_lat_51.3960842,way/162094319,Humboldtblick
lon_9.7765986_lat_51.39495,way/162095818,Hedemünden
lon_9.4159049_lat_51.2726438,way/162096483,Brasselberg
lon_9.3682659_lat_51.2848607,way/162391436,Firnsbachtal
lon_9.3696302_lat_51.2844243,way/162391440,Hirzstein
lon_9.2941255_lat_51.3122625,way/162393054,Roterain
lon_9.1600031_lat_51.4173784,way/162405436,Schoren
lon_9.1613741_lat_51.4145048,way/162405439,Am roten Ufer
lon_7.2187753_lat_52.2848132,way/163300630,
lon_9.0331918_lat_51.4840659,way/163687169,Am Quast
lon_14.6664657_lat_51.6935159,way/188061329,
lon_9.4270122_lat_53.2544235,way/190660146,Hatzte
lon_9.8243386_lat_52.5040831,way/201389695,Seckbruch
lon_9.7141782_lat_52.6403023,way/202067790,Südhorn
lon_9.8725742_lat_53.3827185,way/206303722,Rosengarten
lon_13.9939049_lat_53.3959562,way/206382549,Klockow-Ost
lon_13.9923448_lat_53.3923443,way/206400259,Klockow-West
lon_10.5352437_lat_50.6005787,way/219332323,Dolmar
lon_9.6811216_lat_50.6510697,way/221257631,Fuchsberg
lon_9.7320035_lat_50.4520141,way/221257694,Steinborntal
lon_10.8884541_lat_51.839659,way/224709752,Regensteinblick
lon_13.7777207_lat_53.5210372,way/225419226,Ravensmühle
lon_10.1665917_lat_52.3598134,way/238434701,Röhrse Nord
lon_8.6074934_lat_53.3413264,way/241355091,Harmonie
lon_8.5844001_lat_53.3595834,way/241355094,Binnermoor
lon_8.6167533_lat_53.47697,way/241467663,Nesse
lon_8.615916_lat_53.4773133,way/241467664,Nesse
lon_8.6612579_lat_53.727224,way/241472426,Midlum
lon_8.6635734_lat_53.709556,way/241472428,Krempel
lon_9.0222248_lat_53.0518133,way/241503899,Thünen
lon_11.6645768_lat_50.8773612,way/243444719,Rodablick
lon_9.9597557_lat_50.9450357,way/244666572,
lon_9.8798686_lat_50.9064497,way/244667548,Nadelöhr
lon_9.0552368_lat_52.2187953,way/244805254,Papenbrink
lon_9.16598_lat_52.2161316,way/244805515,Bernser Kirchweg
lon_9.3134158_lat_52.2616336,way/244806708,Schafstrift
lon_9.8246715_lat_52.4258443,way/244809355,Varrelheide
lon_11.6762787_lat_51.8279886,way/245172246,Alter Postweg
lon_11.6751194_lat_51.8288226,way/245172249,Alter Postweg
lon_9.9402235_lat_51.7140776,way/246102099,Schlochau-West
lon_10.4688724_lat_51.4093481,way/248435004,
lon_8.73536_lat_50.0770423,way/264524048,
lon_8.736501_lat_50.0785698,way/264524049,
lon_8.1571296_lat_52.1690264,way/275794886,Teutoburger Wald Ost
lon_8.1555659_lat_52.1705103,way/275794890,Teutoburger Wald West
lon_11.9661867_lat_52.2348893,way/276155214,Ihlegrund
lon_12.140788_lat_52.2431929,way/276155317,Wüstenforst
lon_9.9675853_lat_53.0856623,way/296082220,Bispinger Tor
lon_9.9478762_lat_53.0352366,way/296082221,Wilseder Berg
lon_10.0237836_lat_54.2450733,way/296533996,Rumohr
lon_11.2429922_lat_51.3232808,way/296733499,PWC Hohe Schrecke West
lon_12.9659112_lat_52.5330037,way/299552367,
lon_8.2197171_lat_52.8413999,way/299600720,Gartherfeld
lon_8.2151783_lat_52.8283254,way/299600721,Drantumer Mühle
lon_8.5063482_lat_52.9364036,way/299600729,
lon_8.3817045_lat_52.9120153,way/299600731,
lon_8.6688465_lat_52.9984663,way/299600732,Rastplatz Kiekut-Nord
lon_8.3620815_lat_52.907909,way/299600735,Wildeshausen
lon_8.5996573_lat_52.9660452,way/299600737,Oldenburg
lon_8.5946304_lat_52.9638508,way/299600768,Groß Ippener
lon_8.1481291_lat_52.6359183,way/301010833,Brockdorf
lon_8.6191945_lat_49.6223186,way/306850385,Rastplatz Fuchsbuckel
lon_8.5925199_lat_49.7314605,way/306917445,Rastplatz Nachtweide
lon_8.602833_lat_49.7668168,way/306918159,Rastplatz Erlensee
lon_8.6036028_lat_49.9748114,way/307071501,Bornbruch (Ost)
lon_8.6029015_lat_49.975111,way/307071502,Bornbruch (West)
lon_8.5969375_lat_50.0002998,way/307073504,Steingrund
lon_10.3245839_lat_53.7345734,way/310668096,Rehbrook Ost
lon_10.455208_lat_53.8050009,way/310736622,Melmshöhe
lon_11.8481003_lat_50.875064,way/315653510,
lon_8.1332443_lat_53.1614875,way/327430973,Bloh
lon_8.1221134_lat_53.1667353,way/327430976,Bloh
lon_12.149456_lat_52.2449316,way/343996763,Wüstenforst
lon_11.7524542_lat_52.2277066,way/344903791,Krähenberge
lon_11.7559379_lat_52.2272876,way/345043739,Krähenberge
lon_13.3713665_lat_52.3078778,way/345589355,Jühnsdorfer Heide
lon_11.9876903_lat_52.2359165,way/345604854,Ihlegrund
lon_8.1468263_lat_53.2976569,way/346387923,Beckhauser Büsche
lon_8.1467217_lat_53.2944936,way/346389741,Beckhauser Büsche
lon_13.1937997_lat_52.3010565,way/347382087,Schieferberg
lon_12.8531966_lat_52.3198213,way/347384277,Schwielowsee
