id_rest,id_OSM_rest,name,bbox
lon_8.6630029_lat_50.2542348,way/22568867,Schäferborn,"[8.662868590361738, 50.24898152654641, 8.671281288359209, 50.25437556504614]"
lon_11.3531491_lat_50.9378362,way/27549694,Habichtsfang,"[11.351726372459147, 50.936493009538026, 11.360262305137127, 50.94188640900533]"
lon_9.6300119_lat_53.8303266,way/31128689,Steinburg,"[9.627215668163545, 53.82526371988553, 9.636328100795096, 53.83065446755645]"
lon_9.6297338_lat_53.8301666,way/31128716,Steinburg,"[9.628180425756526, 53.82510898958274, 9.637292806725569, 53.830499737468905]"
lon_11.0102562_lat_50.8353109,way/32489728,Dornheimer Rieth,"[11.005942359513247, 50.83497050027188, 11.014459744706313, 50.840363994138905]"
lon_12.1106921_lat_51.4564157,way/33183989,Kabelsketal,"[12.108539256721702, 51.45150535927225, 12.11717138912027, 51.456898278884765]"
lon_12.1076965_lat_51.4562754,way/33183997,Kabelsketal,"[12.10223294915756, 51.45176748848287, 12.110865046785879, 51.45716040826591]"
lon_10.1688328_lat_53.3457924,way/36826521,Luhewiesen,"[10.167454591818199, 53.34056856196236, 10.176463500857423, 53.34595974844187]"
lon_12.0315302_lat_51.2103528,way/37300878,Pörstental,"[12.02437884147932, 51.205392762760965, 12.032964868518237, 51.21078591033071]"
lon_10.7298729_lat_50.5605634,way/48949722,Adlersberg,"[10.722726263174653, 50.55701312469075, 10.731193654618924, 50.56240687611792]"
lon_8.7976979_lat_50.4392699,way/52983428,Stauferburg-Ost,"[8.791500287731482, 50.43742984873364, 8.799946390927895, 50.44282371123188]"
lon_8.7960067_lat_50.4414072,way/52983433,Stauferburg-West,"[8.792951811144967, 50.43863373838554, 8.801397942690613, 50.44402760073531]"
lon_9.0037966_lat_50.1997276,way/53086050,Auf der Pfingstweide West,"[8.999795233384836, 50.196594418874994, 9.008198592372457, 50.20198850695657]"
