id_rest,id_OSM_rest,name,bbox
lon_11.2442867_lat_51.3248863,relation/3947321,Hohe Schrecke West,"[11.24159479726525, 51.324126659538756, 11.24876781798583, 51.328620859810634]"
lon_13.5458137_lat_52.7129474,relation/4672225,Probstheide,"[13.5409697784268, 52.710385474769225, 13.548368043578778, 52.71487861139927]"
lon_13.549042_lat_52.7092396,relation/4672228,Ladeburger Heide,"[13.547957277955462, 52.70891410121155, 13.555355295181219, 52.713407238958986]"
lon_8.6624068_lat_50.2544468,way/22568868,Spießwald,"[8.66082879318619, 50.251239377033876, 8.667839616004672, 50.2557344078389]"
lon_9.7581375_lat_52.4268193,way/28389908,Vahrenheide,"[9.751755871270523, 52.4231604053405, 9.759106310145865, 52.427653759627916]"
lon_8.633307_lat_50.0540941,way/31005588,Stadtwald,"[8.630592816415131, 50.051114883404864, 8.637574602249131, 50.05561006906247]"
lon_10.2703215_lat_53.3301407,way/37768773,Busschewald,"[10.264804520852536, 53.327430396214396, 10.272309463662868, 53.331923062319625]"
lon_10.6579729_lat_51.9212477,way/85693932,Brockenblick,"[10.657900079707499, 51.91672845458333, 10.66516731595937, 51.9212221978607]"
lon_9.43935_lat_54.6368415,way/128672048,Jalm,"[9.433708351980535, 54.6327835464205, 9.44145152185229, 54.63727523136143]"
lon_14.1236975_lat_51.7547827,way/150981946,Eichower Fließ,"[14.122340678695661, 51.75120490565099, 14.12958146108491, 51.75569877543615]"
lon_10.6238862_lat_51.4340877,way/162053429,,"[10.619619816016009, 51.43092544370502, 10.626809822480674, 51.43541956025209]"
lon_10.7778756_lat_51.4723257,way/162054372,Rastplatz Kesselberg-Süd,"[10.77593812411986, 51.46882831644299, 10.783134050962571, 51.47332240394763]"
lon_11.7243104_lat_51.3999369,way/162057693,Querfurter Platte Süd,"[11.722667770838807, 51.39856687730542, 11.729852396306036, 51.40306102031153]"
lon_9.5648832_lat_51.3206232,way/162094569,Herkulesblick,"[9.560612234217096, 51.31951013334159, 9.567784465722134, 51.32400433751813]"
lon_7.2187753_lat_52.2848132,way/163300630,,"[7.216142692910777, 52.28395548005992, 7.223469729997758, 52.28844894241175]"
lon_14.6664657_lat_51.6935159,way/188061329,,"[14.664561360098125, 51.69090533763516, 14.671792342187382, 51.69539925464174]"
lon_9.4270122_lat_53.2544235,way/190660146,Hatzte,"[9.42461808300466, 53.2537719421514, 9.432109843116685, 53.2582646653109]"
lon_9.8243386_lat_52.5040831,way/201389695,Seckbruch,"[9.818363058770617, 52.50025903636707, 9.825726252156402, 52.50475233219206]"
lon_9.8725742_lat_53.3827185,way/206303722,Rosengarten,"[9.871871003082136, 53.38249130289062, 9.87938531615862, 53.38698392862485]"
lon_13.9939049_lat_53.3959562,way/206382549,Klockow-Ost,"[13.987835124689546, 53.392336854763876, 13.995351222251802, 53.39682947282697]"
lon_13.9923448_lat_53.3923443,way/206400259,Klockow-West,"[13.988347341166847, 53.39195892904534, 13.995863435143914, 53.39645154712383]"
lon_10.5352437_lat_50.6005787,way/219332323,Dolmar,"[10.532051669559873, 50.597880466721946, 10.539113847494011, 50.60237522833612]"
lon_10.6630829_lat_51.917356,way/224650677,Brockenblick,"[10.656965454346492, 51.91718353731499, 10.664232623513426, 51.921677280911425]"
lon_10.8884541_lat_51.839659,way/224709752,Regensteinblick,"[10.881292340091385, 51.838642875979616, 10.888546883445937, 51.84313667978359]"
lon_10.1665917_lat_52.3598134,way/238434701,Röhrse Nord,"[10.161467434807678, 52.35897009049706, 10.168806879328491, 52.36346349542476]"
lon_8.6074934_lat_53.3413264,way/241355091,Harmonie,"[8.603222869312853, 53.33876308271585, 8.610729706829675, 53.34325574064564]"
lon_8.5844001_lat_53.3595834,way/241355094,Binnermoor,"[8.579233963320414, 53.3579906115301, 8.586743885759452, 53.36248325616213]"
lon_8.6579523_lat_53.6066306,way/241467647,Bütteler Holz Ost,"[8.6548722235384, 53.60441096782627, 8.662426153882341, 53.60890342453646]"
lon_8.6591991_lat_53.6100326,way/241467648,Bütteler Holz West,"[8.655773583436456, 53.607052379732735, 8.663327707871069, 53.611544835621416]"
lon_8.6612579_lat_53.727224,way/241472426,Midlum,"[8.659145167861844, 53.72404733153834, 8.666720342877447, 53.728539698704424]"
lon_8.6635734_lat_53.709556,way/241472428,Krempel,"[8.6613858969155, 53.70836269086172, 8.668958188228482, 53.712855070137955]"
lon_9.0222248_lat_53.0518133,way/241503899,Thünen,"[9.02086532580541, 53.048768233712266, 9.02832171043007, 53.053261111480126]"
lon_11.6645768_lat_50.8773612,way/243444719,Rodablick,"[11.66240756761423, 50.876774818417935, 11.669511676140386, 50.88126936457707]"
lon_9.8798686_lat_50.9064497,way/244667548,Nadelöhr,"[9.876620757653694, 50.904610390843274, 9.883729414759756, 50.90910491386007]"
lon_9.0552368_lat_52.2187953,way/244805254,Papenbrink,"[9.05328717189265, 52.21794073313991, 9.060603286954832, 52.22243424628407]"
lon_9.16598_lat_52.2161316,way/244805515,Bernser Kirchweg,"[9.16560217323509, 52.2154167676792, 9.172917759508127, 52.21991028328828]"
lon_9.3134158_lat_52.2616336,way/244806708,Schafstrift,"[9.3083339186981, 52.26145891051168, 9.3156571612225, 52.265952390484046]"
lon_9.8246715_lat_52.4258443,way/244809355,Varrelheide,"[9.818737084153875, 52.4233700885308, 9.826087519710919, 52.42786344283348]"
lon_11.6762787_lat_51.8279886,way/245172246,Alter Postweg,"[11.672462599452336, 51.82379656147463, 11.679715020504839, 51.82829037543004]"
lon_11.6751194_lat_51.8288226,way/245172249,Alter Postweg,"[11.668927913675502, 51.82479486545811, 11.676180484760105, 51.82928867869558]"
lon_8.73536_lat_50.0770423,way/264524048,,"[8.73235701285628, 50.074287159485905, 8.739342201981493, 50.07878232689352]"
lon_8.736501_lat_50.0785698,way/264524049,,"[8.735044520278883, 50.07588654519852, 8.74202995190456, 50.08038171130678]"
lon_8.1571296_lat_52.1690264,way/275794886,Teutoburger Wald Ost,"[8.151282072444584, 52.16813107600453, 8.1585902481653, 52.17262462621383]"
lon_8.1555659_lat_52.1705103,way/275794890,Teutoburger Wald West,"[8.150108347713505, 52.167783470072315, 8.157416472944409, 52.172277020517726]"
lon_11.9661867_lat_52.2348893,way/276155214,Ihlegrund,"[11.963948594599804, 52.23118552049246, 11.97126732923376, 52.23567902143361]"
lon_12.140788_lat_52.2431929,way/276155317,Wüstenforst,"[12.137411172959101, 52.239161623753326, 12.144731231036989, 52.24365511853435]"
lon_10.0237836_lat_54.2450733,way/296533996,Rumohr,"[10.022763709299895, 54.24246432234215, 10.030433708287898, 54.24695629890046]"
lon_11.2429922_lat_51.3232808,way/296733499,PWC Hohe Schrecke West,"[11.241676697625499, 51.32313877443073, 11.24884970089004, 51.327632974788955]"
lon_8.6688465_lat_52.9984663,way/299600732,Rastplatz Kiekut-Nord,"[8.66185421439483, 52.99534832037751, 8.669301294155074, 52.99984123918015]"
lon_8.5969375_lat_50.0002998,way/307073504,Steingrund,"[8.594692123029152, 49.999846308782644, 8.601666318397807, 50.00434153524047]"
lon_10.3245839_lat_53.7345734,way/310668096,Rehbrook Ost,"[10.317890826750133, 53.73323125987775, 10.325467630647832, 53.737723620209465]"
lon_11.8481003_lat_50.875064,way/315653510,,"[11.847197449486199, 50.87173141217213, 11.854300954901916, 50.876225961403115]"
lon_12.149456_lat_52.2449316,way/343996763,Wüstenforst,"[12.143538751307819, 52.241595807992525, 12.15085910111625, 52.2460893014161]"
lon_11.7524542_lat_52.2277066,way/344903791,Krähenberge,"[11.751460686207198, 52.22534383646327, 11.75877825982772, 52.229837342811265]"
lon_11.7559379_lat_52.2272876,way/345043739,Krähenberge,"[11.750113490745024, 52.224273776919844, 11.757430950808322, 52.22876728379681]"
lon_13.3713665_lat_52.3078778,way/345589355,Jühnsdorfer Heide,"[13.365688280828705, 52.30737736429291, 13.373019112050196, 52.311870809053616]"
lon_11.9876903_lat_52.2359165,way/345604854,Ihlegrund,"[11.9825163892672, 52.23431066954305, 11.989835317363777, 52.238804169583496]"
lon_8.1151722_lat_53.3867215,way/346384624,,"[8.111416343889319, 53.38286583023717, 8.118930936955822, 53.3873584547674]"
lon_8.1468263_lat_53.2976569,way/346387923,Beckhauser Büsche,"[8.144803508632322, 53.29336832074828, 8.152302272639517, 53.29786101355756]"
lon_8.1467217_lat_53.2944936,way/346389741,Beckhauser Büsche,"[8.14120235707942, 53.294285030152274, 8.148701234402607, 53.29877772247121]"
lon_13.1937997_lat_52.3010565,way/347382087,Schieferberg,"[13.193512110303212, 52.30011134772728, 13.200841756422628, 52.30460479797964]"
lon_12.8531966_lat_52.3198213,way/347384277,Schwielowsee,"[12.84801479606459, 52.319129465800856, 12.855347649397277, 52.32362290119746]"
lon_9.0123215_lat_53.0517663,way/347961738,Thünen,"[9.010386874315092, 53.04805419979612, 9.01784327309343, 53.05254707750168]"
lon_10.3048543_lat_53.568087,way/347974088,Hahnenkoppel,"[10.300314033477768, 53.5657169211722, 10.30786084422148, 53.57020940806075]"
lon_10.3003947_lat_53.5683535,way/347974089,Hahnenkoppel,"[10.298402759593918, 53.5645965506945, 10.305949706697438, 53.56908903700425]"
lon_9.5552964_lat_50.7839373,way/368338556,Rastplatz Strampen,"[9.553513470145674, 50.78120322721899, 9.56060327289293, 50.78569784645512]"
lon_12.8608997_lat_52.3180343,way/369212846,Caputh,"[12.856363122995607, 52.31759973736133, 12.863695697196917, 52.32209317405009]"
lon_13.7976643_lat_52.4383976,way/369339890,Kranichberge,"[13.790860261959537, 52.43553842951648, 13.798212431213923, 52.4400317758545]"
lon_13.704978_lat_52.3214486,way/369340175,Lankensee,"[13.701446215573515, 52.3185228438265, 13.708779320929214, 52.323016278056585]"
lon_13.7073795_lat_52.3234317,way/369340176,Uckleysee,"[13.70242364679695, 52.32195270284017, 13.709756932273828, 52.3264461362366]"
lon_13.1860148_lat_52.2996676,way/369342827,Siethener Elsbruch,"[13.181799537242092, 52.296099668011905, 13.18912892313761, 52.300593119470484]"
lon_12.5905719_lat_53.0085503,way/369956047,Rossower Heide,"[12.586980909407803, 53.008187129907434, 12.594429930273243, 53.012680040136985]"
lon_12.6092758_lat_52.9913176,way/369956048,,"[12.60777206738083, 52.98947356655698, 12.615218144703812, 52.993966489789635]"
lon_13.8920938_lat_51.814936,way/370280686,Lichtenauer See - Lichtnojski jazor,"[13.89138042134987, 51.81225507667717, 13.898630988704651, 51.81674889950654]"
lon_11.2477836_lat_52.1980946,way/372787574,Lorkberg Süd,"[11.24406163838805, 52.19654482871378, 11.25137437719686, 52.2010383576053]"
lon_11.2481831_lat_52.1991827,way/372787575,Lorkberg Nord,"[11.243139086338012, 52.19837831160949, 11.2504520273462, 52.20287183955731]"
lon_10.8447017_lat_52.3053945,way/374048286,Uhry,"[10.838572640733641, 52.303159272316044, 10.845903109816991, 52.307652718754596]"
